,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Month,Profit Margin,Month Date,Weekday
13,Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,1741.6,425,8500,151659.0,Online,2021,April,1784.2235294117647,4,Saturday
14,Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,1306.2,425,6375,113744.0,Online,2021,March,1784.219607843137,3,Tuesday
15,Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,1741.6,425,8500,151659.0,Online,2021,September,1784.2235294117647,9,Thursday
16,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,1741.6,425,8500,151659.0,Online,2021,February,1784.2235294117647,2,Sunday
17,Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,1741.6,425,8500,151659.0,Online,2021,October,1784.2235294117647,10,Thursday
18,Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,4179.84,420,2016,363980.0,Outlet,2020,May,18054.56349206349,5,Sunday
19,Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,3396.12,408,1591,295734.0,Outlet,2020,April,18587.932118164677,4,Sunday
20,Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,4005.68,403,1854,348815.0,Outlet,2020,April,18814.18554476807,4,Monday
21,West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,1741.6,400,8000,151659.0,In-store,2021,March,1895.7375,3,Wednesday
22,West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,1741.6,400,8000,151659.0,In-store,2021,June,1895.7375,6,Friday
23,West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,1741.6,400,8000,151659.0,In-store,2021,October,1895.7375,10,Monday
24,West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,1741.6,400,8000,151659.0,In-store,2021,November,1895.7375,11,Thursday
25,Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,1741.6,400,8000,151659.0,Online,2021,September,1895.7375,9,Thursday
26,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,1306.2,400,6000,113744.0,Online,2021,February,1895.7333333333333,2,Sunday
27,Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,4092.7599999999998,400,1880,356398.0,Outlet,2020,March,18957.340425531915,3,Wednesday
28,Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,3483.2,390,1560,303317.0,Outlet,2020,January,19443.397435897434,1,Saturday
29,Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,2873.64,388,1280,250237.0,Outlet,2020,January,19549.765625,1,Tuesday
30,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,2960.72,384,1306,257819.0,Outlet,2020,January,19741.11791730475,1,Wednesday
31,Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,2699.48,376,1166,235071.0,Outlet,2021,February,20160.463121783876,2,Sunday
32,Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,1741.6,375,7500,151659.0,Outlet,2021,August,2022.12,8,Sunday
33,Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,1741.6,375,7500,151659.0,In-store,2021,February,2022.12,2,Thursday
34,West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,1741.6,375,7500,151659.0,In-store,2021,August,2022.12,8,Wednesday
35,West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Athletic Footwear,1741.6,375,7500,151659.0,In-store,2021,November,2022.12,11,Thursday
36,Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,1306.2,375,5625,113744.0,Online,2021,April,2022.1155555555556,4,Saturday
37,West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,1306.2,375,5625,113744.0,Online,2021,November,2022.1155555555556,11,Saturday
38,West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,1306.2,375,5625,113744.0,Online,2021,January,2022.1155555555556,1,Saturday
39,Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,3570.2799999999997,375,1538,310900.0,Outlet,2020,March,20214.564369310792,3,Monday
40,Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,2525.32,374,1085,219905.0,Outlet,2020,August,20267.74193548387,8,Wednesday
41,Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,2525.32,374,1085,219905.0,Outlet,2020,September,20267.74193548387,9,Tuesday
42,Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,2873.64,372,1228,250237.0,Outlet,2020,January,20377.60586319218,1,Friday
43,Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,3831.52,366,1610,333649.0,Outlet,2020,February,20723.54037267081,2,Thursday
44,Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,4876.48,360,2016,424644.0,Online,2020,April,21063.690476190477,4,Sunday
45,Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,3221.96,359,1328,280568.0,Outlet,2020,March,21127.108433734942,3,Tuesday
46,Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,4179.84,355,1704,363980.0,Outlet,2020,April,21360.328638497653,4,Saturday
47,Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,4005.68,354,1628,348815.0,Online,2020,January,21425.9828009828,1,Saturday
48,Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,4092.7599999999998,352,1654,356398.0,Outlet,2020,March,21547.64207980653,3,Sunday
49,Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,2177.0,350,8750,189573.0,In-store,2021,March,2166.5485714285714,3,Wednesday
50,Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,2177.0,350,8750,189573.0,In-store,2021,June,2166.5485714285714,6,Friday
51,Foot Locker,1185732,2021-10-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,2177.0,350,8750,189573.0,In-store,2021,October,2166.5485714285714,10,Monday
52,Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,2177.0,350,8750,189573.0,In-store,2021,November,2166.5485714285714,11,Thursday
53,West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Women's Street Footwear,2177.0,350,8750,189573.0,In-store,2021,May,2166.5485714285714,5,Wednesday
54,West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Street Footwear,870.8,350,3500,75829.0,In-store,2021,September,2166.542857142857,9,Sunday
55,Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Athletic Footwear,2177.0,350,8750,189573.0,Online,2021,April,2166.5485714285714,4,Saturday
56,Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,2177.0,350,8750,189573.0,Online,2021,October,2166.5485714285714,10,Monday
57,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,2177.0,350,8750,189573.0,Online,2021,February,2166.5485714285714,2,Sunday
58,Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Street Footwear,870.8,350,3500,75829.0,Online,2021,March,2166.542857142857,3,Friday
59,Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Apparel,2177.0,350,8750,189573.0,Online,2021,March,2166.5485714285714,3,Friday
60,Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,1306.2,350,5250,113744.0,Online,2021,September,2166.5523809523806,9,Sunday
61,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,1741.6,350,7000,151659.0,Online,2021,February,2166.557142857143,2,Sunday
62,West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,1741.6,350,7000,151659.0,Online,2021,October,2166.557142857143,10,Thursday
63,Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,2177.0,350,8750,189573.0,Online,2021,January,2166.5485714285714,1,Saturday
64,Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Street Footwear,1306.2,350,5250,113744.0,Online,2021,January,2166.5523809523806,1,Saturday
65,Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Apparel,2177.0,350,8750,189573.0,Online,2021,January,2166.5485714285714,1,Saturday
66,West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,2177.0,350,8750,189573.0,In-store,2021,February,2166.5485714285714,2,Wednesday
67,Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,2786.56,350,1120,242654.0,Outlet,2020,January,21665.535714285717,1,Friday
68,Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,3134.88,350,1260,272985.0,Outlet,2020,January,21665.47619047619,1,Friday
69,Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,3744.44,350,1505,326066.0,Outlet,2020,April,21665.514950166114,4,Monday
70,Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,3918.6,350,1575,341232.0,Outlet,2020,April,21665.52380952381,4,Friday
71,Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,3309.04,350,1330,288151.0,Outlet,2020,August,21665.48872180451,8,Sunday
72,Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,2264.08,349,907,197156.0,Outlet,2021,January,21737.15545755237,1,Saturday
73,Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,4005.68,347,1596,348815.0,Outlet,2020,March,21855.57644110276,3,Monday
74,West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Street Footwear,1741.6,345,6900,151659.0,In-store,2021,November,2197.9565217391305,11,Thursday
75,West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,3570.2799999999997,341,1398,310900.0,Outlet,2021,January,22238.912732474964,1,Wednesday
76,Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,3570.2799999999997,340,1394,310900.0,Outlet,2020,March,22302.725968436156,3,Thursday
77,Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,4179.84,340,1632,363980.0,Outlet,2020,July,22302.696078431374,7,Saturday
78,West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,3570.2799999999997,338,1386,310900.0,Outlet,2021,January,22431.45743145743,1,Tuesday
79,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,4092.7599999999998,336,1579,356398.0,Online,2020,January,22571.120962634577,1,Wednesday
80,Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,3396.12,333,1299,295734.0,Outlet,2020,February,22766.281755196305,2,Wednesday
81,Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,3657.36,333,1399,318483.0,Outlet,2020,May,22765.0464617584,5,Tuesday
82,Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,2786.56,333,1066,242654.0,Outlet,2020,October,22763.039399624766,10,Monday
83,Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,2960.72,333,1132,257819.0,Outlet,2020,October,22775.530035335687,10,Tuesday
84,West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,4005.68,332,1527,348815.0,Outlet,2021,February,22843.15651604453,2,Friday
85,Sports Direct,1197831,2021-09-24,South,Texas,Dallas,Women's Street Footwear,3047.7999999999997,332,1162,265402.0,Outlet,2021,September,22840.103270223753,9,Friday
86,Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,3309.04,330,1254,288151.0,Outlet,2020,January,22978.54864433812,1,Monday
87,Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,4354.0,330,1650,379146.0,Outlet,2020,April,22978.545454545456,4,Sunday
88,Foot Locker,1185732,2021-08-06,Southeast,South Carolina,Charleston,Men's Street Footwear,5398.96,326,2021,470141.0,Online,2021,August,23262.79069767442,8,Friday
89,Foot Locker,1185732,2021-08-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,2177.0,325,8125,189573.0,In-store,2021,August,2333.206153846154,8,Wednesday
90,Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,2177.0,325,8125,189573.0,In-store,2021,November,2333.206153846154,11,Thursday
91,West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,1741.6,325,6500,151659.0,In-store,2021,January,2333.2153846153847,1,Monday
92,West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Athletic Footwear,2177.0,325,8125,189573.0,In-store,2021,April,2333.206153846154,4,Sunday
93,West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Women's Street Footwear,1306.2,325,4875,113744.0,In-store,2021,April,2333.210256410256,4,Sunday
94,West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Athletic Footwear,870.8,325,3250,75829.0,In-store,2021,September,2333.2000000000003,9,Sunday
95,West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,1741.6,325,6500,151659.0,In-store,2021,September,2333.2153846153847,9,Sunday
96,Amazon,1185732,2021-03-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,2177.0,325,8125,189573.0,Online,2021,March,2333.206153846154,3,Tuesday
97,Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,2177.0,325,8125,189573.0,Online,2021,February,2333.206153846154,2,Thursday
98,Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Athletic Footwear,1741.6,325,6500,151659.0,Online,2021,March,2333.2153846153847,3,Friday
99,Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,1306.2,325,4875,113744.0,Online,2021,September,2333.210256410256,9,Sunday
100,Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,2177.0,325,8125,189573.0,Online,2021,September,2333.206153846154,9,Sunday
101,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,1306.2,325,4875,113744.0,Online,2021,February,2333.210256410256,2,Sunday
102,Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Apparel,1741.6,325,6500,151659.0,Online,2021,February,2333.2153846153847,2,Sunday
103,Kohl's,1197831,2021-10-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,1741.6,325,6500,151659.0,Online,2021,October,2333.2153846153847,10,Thursday
104,West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Street Footwear,1741.6,325,6500,151659.0,In-store,2021,March,2333.2153846153847,3,Tuesday
105,Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,5050.64,325,1885,439810.0,Online,2020,March,23332.09549071618,3,Monday
106,Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,3483.2,324,1296,303317.0,Outlet,2020,March,23404.08950617284,3,Tuesday
107,Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,5486.04,323,2035,477724.0,Online,2020,May,23475.380835380834,5,Sunday
108,Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,2786.56,323,1034,242654.0,Outlet,2020,January,23467.50483558994,1,Tuesday
109,Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,3134.88,323,1163,272985.0,Outlet,2020,January,23472.484952708513,1,Thursday
110,Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,2873.64,323,1066,250237.0,Outlet,2020,August,23474.39024390244,8,Wednesday
111,Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,4615.24,322,1707,401895.0,Outlet,2020,May,23543.936731107206,5,Saturday
112,West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,3483.2,322,1288,303317.0,Outlet,2021,February,23549.456521739132,2,Thursday
113,Sports Direct,1197831,2021-09-18,South,Texas,Dallas,Women's Street Footwear,2873.64,322,1063,250237.0,Outlet,2021,September,23540.639698965195,9,Saturday
114,Sports Direct,1197831,2021-04-17,South,Tennessee,Knoxville,Women's Street Footwear,2612.4,322,966,227488.0,Outlet,2021,April,23549.482401656314,4,Saturday
115,Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,2699.48,322,998,235071.0,Outlet,2021,September,23554.20841683367,9,Wednesday
116,West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Street Footwear,2177.0,320,8000,189573.0,Online,2021,November,2369.6625,11,Saturday
117,Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,3134.88,320,1152,272985.0,Outlet,2020,January,23696.614583333336,1,Thursday
118,Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,3831.52,320,1408,333649.0,Outlet,2020,March,23696.66193181818,3,Tuesday
119,Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,5137.72,319,1882,447393.0,Online,2020,March,23772.21041445271,3,Tuesday
120,Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,3221.96,319,1180,280568.0,Online,2020,August,23776.949152542373,8,Wednesday
121,Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,3744.44,319,1372,326066.0,Online,2020,August,23765.743440233236,8,Wednesday
122,Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,3570.2799999999997,318,1304,310900.0,Outlet,2020,March,23842.0245398773,3,Wednesday
123,Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,4702.32,317,1712,409478.0,Online,2020,February,23918.107476635516,2,Thursday
124,Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,3396.12,315,1229,295734.0,Outlet,2020,January,24062.978030919447,1,Wednesday
125,Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,3047.7999999999997,315,1103,265402.0,Outlet,2020,January,24061.831368993655,1,Sunday
126,Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,3047.7999999999997,315,1103,265402.0,Outlet,2020,February,24061.831368993655,2,Saturday
127,Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,2438.24,315,882,212322.0,Outlet,2020,February,24072.789115646257,2,Sunday
128,Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,3134.88,315,1134,272985.0,Outlet,2020,April,24072.751322751323,4,Tuesday
129,Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,3831.52,315,1386,333649.0,Outlet,2020,April,24072.799422799424,4,Thursday
130,Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,2089.92,315,756,181990.0,Outlet,2020,August,24072.751322751323,8,Wednesday
131,Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,3134.88,315,1134,272985.0,Outlet,2020,September,24072.751322751323,9,Monday
132,Kohl's,1189833,2021-05-25,West,California,Los Angeles,Men's Street Footwear,3396.12,315,1229,295734.0,Outlet,2021,May,24062.978030919447,5,Tuesday
133,Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,2351.16,314,848,204739.0,Outlet,2020,January,24143.75,1,Monday
134,Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,3221.96,314,1162,280568.0,Outlet,2020,March,24145.26678141136,3,Wednesday
135,Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,3396.12,314,1225,295734.0,Outlet,2021,April,24141.551020408166,4,Friday
136,Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,4005.68,313,1440,348815.0,Online,2020,January,24223.263888888887,1,Tuesday
137,Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,4789.4,313,1722,417061.0,Online,2020,March,24219.570267131243,3,Wednesday
138,Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,5398.96,312,1934,470141.0,Online,2020,May,24309.255429162356,5,Sunday
139,Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,3309.04,312,1186,288151.0,Online,2021,February,24296.037099494097,2,Sunday
140,Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,3483.2,312,1248,303317.0,Outlet,2020,April,24304.246794871797,4,Tuesday
141,Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Street Footwear,5486.04,311,1959,477724.0,Online,2021,July,24386.115364982135,7,Monday
142,Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,3744.44,310,1333,326066.0,Outlet,2020,May,24461.06526631658,5,Monday
143,Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,4615.24,308,1632,401895.0,Online,2020,March,24625.91911764706,3,Tuesday
144,Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,5311.88,308,1879,462559.0,Online,2021,August,24617.29643427355,8,Tuesday
145,Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,3744.44,306,1316,326066.0,Outlet,2020,January,24777.051671732523,1,Sunday
146,Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,3744.44,306,1316,326066.0,Outlet,2020,January,24777.051671732523,1,Thursday
147,Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,2960.72,306,1040,257819.0,Outlet,2020,April,24790.28846153846,4,Wednesday
148,Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,3570.2799999999997,306,1255,310900.0,Outlet,2020,May,24772.908366533862,5,Wednesday
149,Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,1741.6,306,612,151659.0,Outlet,2020,July,24780.88235294118,7,Friday
150,Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,2002.84,306,704,174407.0,Outlet,2020,August,24773.721590909092,8,Thursday
151,Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,2525.32,306,887,219905.0,Outlet,2020,August,24791.995490417135,8,Friday
152,Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,2699.48,306,949,235071.0,Outlet,2020,October,24770.389884088512,10,Wednesday
153,Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,3570.2799999999997,306,1255,310900.0,Outlet,2020,October,24772.908366533862,10,Saturday
154,West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,5224.8,306,1836,454976.0,Outlet,2021,January,24780.827886710238,1,Monday
155,West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,4005.68,306,1408,348815.0,Outlet,2021,February,24773.792613636364,2,Saturday
156,Kohl's,1189833,2021-05-01,West,California,Los Angeles,Men's Street Footwear,3134.88,306,1102,272985.0,Outlet,2021,May,24771.778584392014,5,Saturday
157,Sports Direct,1197831,2021-04-14,South,Tennessee,Knoxville,Women's Apparel,3221.96,306,1132,280568.0,Outlet,2021,April,24785.15901060071,4,Wednesday
158,West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Street Footwear,5398.96,306,1897,470141.0,Outlet,2021,July,24783.39483394834,7,Friday
159,Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,5573.12,305,1952,485307.0,Online,2020,March,24862.03893442623,3,Monday
160,Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,2351.16,305,824,204739.0,Outlet,2020,August,24846.966019417476,8,Sunday
161,Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,2873.64,305,1007,250237.0,Outlet,2020,August,24849.751737835155,8,Monday
162,Foot Locker,1197831,2021-08-08,West,Idaho,Boise,Women's Street Footwear,3396.12,305,1190,295734.0,Outlet,2021,August,24851.59663865546,8,Sunday
163,West Gear,1185732,2020-09-17,Southeast,Florida,Miami,Men's Street Footwear,5224.8,304,1824,454976.0,Online,2020,September,24943.85964912281,9,Thursday
164,Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,3134.88,302,1087,272985.0,Outlet,2020,August,25113.615455381783,8,Saturday
165,West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,3918.6,302,1359,341232.0,Outlet,2021,January,25109.05077262693,1,Monday
166,Sports Direct,1197831,2021-04-01,South,Tennessee,Knoxville,Men's Apparel,2612.4,300,9000,227488.0,Outlet,2021,April,2527.644444444444,4,Thursday
167,Sports Direct,1197831,2021-09-28,South,Alabama,Birmingham,Men's Apparel,2612.4,300,9000,227488.0,Outlet,2021,September,2527.644444444444,9,Tuesday
168,Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Women's Street Footwear,2612.4,300,9000,227488.0,In-store,2021,May,2527.644444444444,5,Wednesday
169,Foot Locker,1185732,2021-09-19,Midwest,Missouri,St. Louis,Women's Street Footwear,1306.2,300,4500,113744.0,In-store,2021,September,2527.644444444444,9,Sunday
